country_code,registration_number,legal_name,registered_address,incorporation_date,entity_status,industry_codes,sanctioned
TW,TW-28419377,"Formosa Precision Semiconductor Co., Ltd.","14 Science Road, Hsinchu, TW",2009-04-17,active,"{2610,2620}",false
TW,TW-63878539,"Estuary Integrated Transport Co., Ltd.","288 Fabrication Lane, Taichung, TW",2018-09-27,active,"{4923,5210}",false
CN,CN-878262360,"Aetheris Substrate Semiconductor Co., Ltd.","173 Technology Boulevard, Shenzhen, CN",2009-05-04,active,"{2620,2610}",false
KR,KR-833048175,"Talon Composite Ventures Co., Ltd.","138 Technology Boulevard, Suwon, KR",1999-08-15,active,"{7010,6420}",false
JP,JP-3153-79-149813,Silverbrook Precision Ventures K.K.,"186 Innovation Park, Osaka, JP",1994-04-09,active,"{6420,7010}",false
VN,VN-535770406,Kestrel Micro Supply Chain JSC,"83 Industrial Avenue, Ho Chi Minh City, VN",1996-04-08,active,"{5229,5210}",false
MY,MY-514823806,Cinder Quantum Systems Sdn. Bhd.,"223 Industrial Avenue, Shah Alam, MY",2020-10-26,active,"{2630,2620}",false
SG,SG-202053538R,Northwind Precision Group Pte. Ltd.,"160 Science Road, Tampines, SG",2012-12-06,active,"{4652,7010}",false
TH,TH-662651390,"Fenwick Advanced Logistics Co., Ltd.","282 Industrial Avenue, Ayutthaya, TH",2012-08-06,active,"{5210,4923}",false
IN,IN-U2611MH2003PTC269291,Thistle Integrated Components Pvt. Ltd.,"137 Industrial Avenue, Chennai, IN",2000-10-22,active,"{2620,2611}",false
US,US-78-1653229,Fenwick Quantum Freight Inc.,"44 Industrial Avenue, Portland, OR, US",2013-06-11,active,"{4923,5229}",false
DE,DE-HRB177517,Vantage Thermal Capital GmbH,"36 Harbour Way, Munich, DE",2008-04-28,active,"{4652,7010}",false
FR,FR-945238934,Formosa Circuit Capital S.A.S.,"120 Industrial Avenue, Lyon, FR",2018-03-25,active,"{6420,7010}",false
PL,PL-9991217960,Fenwick Composite Materials Sp. z o.o.,"268 Fabrication Lane, Gdansk, PL",2014-03-06,active,"{2610,2611}",false
GB,GB-71808679,Halcyon Composite Foundry Ltd.,"184 Harbour Way, Manchester, GB",2016-06-14,active,"{2611,2620}",false
TW,TW-10744488,"Northwind Integrated Modules Co., Ltd.","207 Science Road, Tainan, TW",2020-12-03,active,"{2640,2630}",false
CN,CN-872434412,"Aetheris Advanced Freight Co., Ltd.","54 Technology Boulevard, Shenzhen, CN",2005-01-18,active,"{5229,4923}",false
KR,KR-977456060,"Thistle Micro Materials Co., Ltd.","246 Science Road, Suwon, KR",2011-09-25,active,"{2611,2610}",false
JP,JP-7780-84-427746,Lodestar Substrate Semiconductor K.K.,"34 Fabrication Lane, Kumamoto, JP",2000-01-01,active,"{2620,2611}",false
VN,VN-746806216,Northwind Micro Ventures JSC,"21 Innovation Park, Da Nang, VN",2007-02-22,active,"{4652,6420}",false
MY,MY-659165830,Ironwood Substrate Transport Sdn. Bhd.,"295 Technology Boulevard, Johor Bahru, MY",2015-06-11,active,"{5210,4923}",true
SG,SG-201836813N,Zenith Circuit Modules Pte. Ltd.,"230 Science Road, Singapore, SG",2011-11-08,active,"{2640,2620}",false
TH,TH-749346278,"Grandview Quantum Devices Co., Ltd.","19 Industrial Avenue, Chonburi, TH",2006-02-14,dissolved,"{2640,2630}",false
IN,IN-U2611MH2002PTC842806,Silverbrook Photonic Freight Pvt. Ltd.,"238 Technology Boulevard, Bengaluru, IN",2016-04-04,active,"{5229,4923}",true
US,US-43-7970882,Ridgeline Circuit Capital Inc.,"42 Harbour Way, San Jose, CA, US",1994-08-19,active,"{7010,6420}",true
DE,DE-HRB922516,Kestrel Thermal Supply Chain GmbH,"171 Fabrication Lane, Dresden, DE",2003-05-10,active,"{5210,5229}",false
FR,FR-735969900,Lodestar Thermal Freight S.A.S.,"21 Harbour Way, Lyon, FR",2022-08-23,active,"{4923,5229}",true
PL,PL-5099619648,Copperleaf Circuit Semiconductor Sp. z o.o.,"256 Industrial Avenue, Wroclaw, PL",1995-12-01,active,"{2611,2620}",false
GB,GB-70387662,Grandview Thermal Group Ltd.,"194 Industrial Avenue, Manchester, GB",2004-12-05,active,"{4652,7010}",false
TW,TW-23791859,"Aetheris Advanced Electronics Co., Ltd.","6 Science Road, Taipei, TW",2022-05-26,active,"{2620,2630}",false
CN,CN-288503363,"Northwind Advanced Capital Co., Ltd.","206 Export Zone, Dongguan, CN",1999-05-15,active,"{7010,6420}",false
KR,KR-773538329,"Copperleaf Precision Holdings Co., Ltd.","50 Industrial Avenue, Suwon, KR",2011-11-20,active,"{4652,7010}",false
JP,JP-8096-72-149472,Everline Micro Foundry K.K.,"266 Science Road, Tokyo, JP",2002-12-13,active,"{2611,2620}",false
VN,VN-898950162,Lumen Composite Holdings JSC,"103 Innovation Park, Bac Ninh, VN",2003-03-25,active,"{7010,4652}",false
MY,MY-993438915,Solstice Circuit Freight Sdn. Bhd.,"192 Harbour Way, Penang, MY",2003-03-12,active,"{5229,5210}",false
SG,SG-199269819W,Meridian Substrate Holdings Pte. Ltd.,"129 Industrial Avenue, Tampines, SG",2009-09-18,active,"{7010,4652}",false
IN,IN-U2611KA1995PTC180191,Thistle Micro Foundry Pvt. Ltd.,"237 Technology Boulevard, Chennai, IN",2021-11-02,active,"{2610,2620}",false
US,US-22-5484642,Everline Micro Modules Inc.,"21 Science Road, Portland, OR, US",1996-04-06,dissolved,"{2640,2630}",false
DE,DE-HRB974443,Estuary Photonic Wafer GmbH,"76 Science Road, Munich, DE",2020-12-20,active,"{2611,2610}",true
FR,FR-271457406,Estuary Thermal Group S.A.S.,"273 Science Road, Lyon, FR",1998-06-19,active,"{4652,6420}",false
PL,PL-7091136402,Lumen Thermal Modules Sp. z o.o.,"44 Innovation Park, Gdansk, PL",2002-08-22,active,"{2630,2640}",false
GB,GB-53445543,Talon Thermal Wafer Ltd.,"161 Technology Boulevard, Manchester, GB",2017-04-28,active,"{2610,2620}",false
TW,TW-57116038,"Solstice Quantum Systems Co., Ltd.","23 Innovation Park, Hsinchu, TW",2023-08-26,active,"{2620,2630}",false
CN,CN-487800744,"Estuary Circuit Capital Co., Ltd.","183 Fabrication Lane, Chengdu, CN",2018-07-11,active,"{6420,4652}",false
KR,KR-877701047,"Formosa Photonic Systems Co., Ltd.","96 Industrial Avenue, Incheon, KR",2007-04-13,active,"{2620,2640}",false
JP,JP-5478-97-103655,Cobalt Composite Electronics K.K.,"88 Innovation Park, Nagoya, JP",2005-12-10,active,"{2620,2640}",false
VN,VN-134016302,Auralis Substrate Systems JSC,"41 Export Zone, Da Nang, VN",2019-03-19,active,"{2640,2630}",false
MY,MY-307532046,Copperleaf Circuit Capital Sdn. Bhd.,"285 Innovation Park, Kulim, MY",1999-07-26,dissolved,"{6420,7010}",false
SG,SG-201121220K,Meridian Micro Devices Pte. Ltd.,"67 Export Zone, Singapore, SG",1998-10-10,active,"{2640,2630}",false
TH,TH-873449167,"Vantage Thermal Capital Co., Ltd.","157 Technology Boulevard, Ayutthaya, TH",2003-01-21,active,"{6420,4652}",false
IN,IN-U2610KA1998PTC675071,Thistle Precision Group Pvt. Ltd.,"84 Technology Boulevard, Chennai, IN",2016-09-10,active,"{6420,4652}",false
US,US-18-6611658,Northwind Precision Supply Chain Inc.,"13 Innovation Park, San Jose, CA, US",2005-01-17,active,"{4923,5210}",false
DE,DE-HRB277173,Ridgeline Precision Semiconductor GmbH,"56 Harbour Way, Regensburg, DE",2011-11-26,active,"{2611,2620}",false
FR,FR-494953783,Cobalt Thermal Transport S.A.S.,"256 Harbour Way, Lyon, FR",1995-03-26,active,"{5210,5229}",false
PL,PL-2682355648,Kestrel Integrated Assembly Sp. z o.o.,"233 Export Zone, Katowice, PL",2013-12-04,active,"{2630,2620}",false
